R,Nome,Qt.A
P,Maignan,20
P,Svilar,19
P,Milinkovic-Savic V.,17
P,Carnesecchi,16
P,Butez,16
P,Provedel,16
P,Falcone,16
P,Audero,15
P,Di Gregorio,15
P,Caprile,13
P,Skorupski,12
P,Sommer,12
P,Muric,12
P,De Gea,11
P,Semper,11
P,Paleari,11
P,Montipò,11
P,Ravaglia F.,10
P,Suzuki,10
P,Okoye,10
P,Leali,9
P,Corvi,9
P,Meret,8
P,Padelli,4
P,Guaita,4
P,Israel,3
P,Pessina Mas.,2
P,Martinez Jo.,2
P,Perin,2
P,Sava,2
P,Silvestri,2
P,Rossi F.,1
P,Sportiello,1
P,Ciocci,1
P,Vigorito,1
P,Nava,1
P,Christensen O.,1
P,Siegrist,1
P,Sommariva,1
P,Di Gennaro,1
P,Pinsoglio,1
P,Furlanetto,1
P,Mandas,1
P,Fruchtl,1
P,Samooja,1
P,Terracciano,1
P,Torriani,1
P,Contini,1
P,Rinaldi,1
P,Nicolas,1
P,Scuffet,1
P,Zelezny,1
P,Gollini,1
P,Satalino,1
P,Turati,1
P,Popa,1
P,Perilli,1
P,Vasquez D.,1
P,Nunziante,1
P,Lezzerini,1
P,Toniolo,1
P,Cavlina,1
P,Ferrante,1
P,Calligaris,1
P,Tornqvist,1
P,Sherri,1
D,Dimarco,26
D,Bastoni,18
D,Spinazzola,18
D,Palestra,16
D,Pavlovic,16
D,Wesley,16
D,Holm,14
D,Carlos Augusto,14
D,Baschirotto,14
D,Martin,13
D,Bartesaghi,13
D,Terracciano F.,13
D,Celik,13
D,Coco,13
D,Kempf,12
D,Vojvoda,12
D,Kalulu,12
D,Buongiorno,12
D,Maripan,12
D,Ostigard,12
D,Ramon,12
D,Belghali,12
D,Hermoso,11
D,Kabasele,11
D,Solet,11
D,Akanji,11
D,Posch,10
D,Miranda J.,10
D,Dumfries,10
D,Bremer,10
D,Kelly L.,10
D,Cambiaso,10
D,Tiago Gabriel,10
D,Rrahmani,10
D,Di Lorenzo,10
D,Mancini,10
D,Scalvini,9
D,Kossounou,9
D,Luperto,9
D,Mina,9
D,Idrissi R.,9
D,Barbieri,9
D,Gosens,9
D,Vasquez,9
D,Bisseck,9
D,Cabal,9
D,Gabbia,9
D,Circati,9
D,Delprato,9
D,Valeri,9
D,Cuadrado,9
D,Idzes,9
D,Heggem,9
D,Diego Carlos,9
D,Bellanova,8
D,Zappacosta,8
D,Lucumì,8
D,Zappa,8
D,Zortea,8
D,Valle,8
D,Gila,8
D,Romagnoli,8
D,Marusic,8
D,Gallo,8
D,Tomori,8
D,Beukema,8
D,Zanoli,8
D,Angori,8
D,Muharemovic,8
D,Britschgi,8
D,Hien,7
D,Moreno Alb.,7
D,Bianchetti,7
D,Ranieri L.,7
D,Norton-Cuffy,7
D,Caracciolo A.,7
D,N'Dicka,7
D,Angelino,7
D,Walukiewicz,7
D,Ismajli,7
D,Lazaro,7
D,Kristensen T.,7
D,Folino,6
D,Comuzzo,6
D,Fortini,6
D,Parisi,6
D,Acerbi,6
D,Gatti,6
D,Pellegrini Lu.,6
D,Tavares N.,6
D,Gaspar K.,6
D,Valenti,6
D,Doig,6
D,Bertola,6
D,Kamara H.,6
D,Bradaric,6
D,Djimsiti,5
D,Kolasinac,5
D,Ahanor,5
D,Obert,5
D,Dodò,5
D,Veiga D.,5
D,Canestrelli,5
D,Rensch,5
D,Pedersen,5
D,Bernasconi,5
D,Bella-Kotchap,5
D,Floriani Mussolini,4
D,Pezzella Giu.,4
D,Pongracic,4
D,Marcandalli,4
D,De Winter,4
D,De Vrij,4
D,Provstgaard,4
D,Juan Jesus,4
D,Olivera,4
D,Calabresi,4
D,Ehizibue,4
D,Unai Nunez,4
D,Valentini N.,4
D,Frese,4
D,Nelsson,4
D,Rodriguez Ju.,4
D,Bonfanti,3
D,Vitik,3
D,De Silvestri,3
D,Lykogiannis,3
D,Smolcic I.,3
D,Van Der Brempt,3
D,Otoa,3
D,Lazzari,3
D,Ndaba,3
D,Estupinan,3
D,Biraghi,3
D,Zemura,3
D,Goglichidze,3
D,Candè,3
D,Athekame,3
D,Gutierrez,3
D,Ziolkowski,3
D,Tsimikas,3
D,Faye,3
D,Albiol,3
D,Casale,2
D,Di Pardo,2
D,Ceccherini,2
D,Marì,2
D,Viti,2
D,Rugani,2
D,Joao Mario,2
D,Patric,2
D,Lovik,2
D,Mateus Lusuardi,2
D,Masina,2
D,Rui Modesto,2
D,Ndiaye,2
D,Cham,2
D,Troilo,2
D,Nkounkou,2
D,Coulibaly W.,2
D,Dossena,1
D,Goldaniga,1
D,Sabelli,1
D,Darmian,1
D,Rouhi,1
D,Gigot,1
D,Hysaj,1
D,Jean,1
D,Perez M.,1
D,Kouassi,1
D,Marianucci,1
D,Mazzocchi,1
D,Coppola F.,1
D,Mbambi,1
D,Esteves T.,1
D,Odenthal,1
D,Romagna,1
D,Paz Y.,1
D,Pieragnolo,1
D,Schuurs,1
D,Dembelè A.,1
D,Palma,1
D,Ghilardi,1
D,Slotsager,1
D,Ebosse,1
D,Oyegoke,1
D,Denoon,1
D,Kouadio,1
D,Siebert,1
D,Lamptey,1
D,Odogu,1
D,Zè Pedro,1
D,Palacios T.,1
D,Arizala,1
C,Pulisic,32
C,Paz N.,31
C,Calhanoglu,29
C,Orsolini,25
C,De Bruyne,23
C,McTominay,22
C,Modric,21
C,Zambo Anguissa,21
C,Rabiot,20
C,Zaniolo,20
C,Odgaard,19
C,Saelemaekers,19
C,Vlasic,19
C,Mandragora,18
C,Barella,18
C,Neres,18
C,Zaccagni,17
C,Conceicao,16
C,Bernabè,16
C,Konè M.,16
C,Pellegrini Lo.,16
C,Konè I.,16
C,Vazquez,15
C,Zielinski,15
C,Isaksen,15
C,Atta,15
C,Gaetano,14
C,Perrone,14
C,Vandeputte,14
C,Gudmundsson A.,14
C,Thorsby,14
C,Zalewski,14
C,Basic,14
C,Berisha M.,14
C,Ricci S.,14
C,Volpato,14
C,Samardzic,13
C,Felici,13
C,Sucic P.,13
C,Locatelli,13
C,Thuram K.,13
C,Guendouzi,13
C,Coulibaly L.,13
C,Loftus-Cheek,13
C,Serdar,13
C,Pasalic,12
C,Pobega,12
C,Kostic,12
C,Cataldi,12
C,Politano,12
C,Cristante,12
C,Thorstvedt,12
C,Sottil,12
C,Da Cunha,11
C,Malinovskyi,11
C,McKennie,11
C,Fofana Y.,11
C,Leris,11
C,Matic,11
C,Caqueret,10
C,Ellertsson,10
C,Tourè I.,10
C,Fadera,10
C,Zhegrova,10
C,Ederson D.S.,9
C,Moro N.,9
C,Folorunsho,9
C,Karlstrom,9
C,Gilmour,8
C,Akinsanmiro,8
C,Payero,8
C,Ekkelenkamp,8
C,Bernede,8
C,Piotrowski,8
C,Bailey,8
C,De Roon,7
C,Brescianini,7
C,Deiola,7
C,Prati,7
C,Baturina,7
C,Fagioli,7
C,Frendrup,7
C,Pierotti,7
C,Bondo,7
C,Zerbin,7
C,Lobotka,7
C,Baldanzi,7
C,Casadei,7
C,Sorensen O.,7
C,Rowe,7
C,Lorran,7
C,Freuler,6
C,Fabbian,6
C,Bernardeschi,6
C,Ndour,6
C,Luis Henrique,6
C,Mkhitaryan,6
C,Keita M.,6
C,Tramoni M.,6
C,El Aynaoui,6
