Squadra,Spesa Totale,Giocatore,Costo 2026-27,Costo 2027-28,Costo 2028-29,Durata (anni)
PIETRO,101.0,ANGUISSA,24,,,1
PIETRO,101.0,BREMER,8,,,1
PIETRO,101.0,WESLEY,14,,,1
PIETRO,101.0,GUENDOUZI,12,,,1
PIETRO,101.0,BORRELLI,12,,,1
PIETRO,101.0,SULEMANA,12,,,1
PIETRO,101.0,KELLY,9,,,1
PIETRO,101.0,MATIC,10,,,1
ANDREA,49.0,DYBALA,32,,,1
ANDREA,49.0,DOMINGUEZ,17,,,1
DANI ROBI,31.0,GIMENEZ,31,,,1
MATTEO,28.0,BUONGIORNO,15.0,,,1
MATTEO,28.0,LOVRIC,13.0,,,1
GIANNI,77.0,LUCCA,20,,,1
GIANNI,77.0,DOUVIKAZ,8,,,1
GIANNI,77.0,DI GREGORIO,15,,,1
GIANNI,77.0,DAVIS K,19,19.0,,2
GIANNI,77.0,ADAMS,15,,,1
MARCO,100.0,DIAO,11,11.0,,2
MARCO,100.0,BRESCIANINI,7,7.0,,2
MARCO,100.0,YILDIZ,11,,,1
MARCO,100.0,DOVBYK,24,,,1
MARCO,100.0,KOOPMEINERS,18,,,1
MARCO,100.0,CASTRO,4,,,1
MARCO,100.0,PIO ESPOSITO,12,12.0,12.0,3
MARCO,100.0,ISAKSEN,13,,,1
PIERLUIGI,87.0,DE ROON,12,0,,2
PIERLUIGI,87.0,FOFANA,12,0,,2
PIERLUIGI,87.0,MAIGNAN,11,,,1
PIERLUIGI,87.0,KALULU,1,,,1
PIERLUIGI,87.0,LUKAKU,18,18.0,,2
PIERLUIGI,87.0,LEAO,26,26.0,26.0,3
PIERLUIGI,87.0,BATURINA,7,7.0,7.0,3
GIGI,59.0,S ESPOSITO,23,,,1
GIGI,59.0,MCTOMINAY,21,,,1
GIGI,59.0,NICO PAZ,15,,,1
GIUSEPPE,43.0,MARTINEZ JO,1,1.0,,2
GIUSEPPE,43.0,VLAHOVIC,26,,,1
GIUSEPPE,43.0,SCAMACCA,16,16.0,,2
NICHOLAS,79.0,VLASIC,15.0,,,1
NICHOLAS,79.0,NICOLUSSI,12.0,,,1
NICHOLAS,79.0,SVILAR,11.0,,,1
NICHOLAS,79.0,BELLANOVA,11.0,,,1
NICHOLAS,79.0,PISILLI,11.0,,,1
NICHOLAS,79.0,PELLEGRINO,19.0,19.0,,2
